seed,d,M,k,N,evaluation_samples,t,mse,seconds,backend,device,wrong_bases,ambient_basis,classification
20261001,48,128,3,50000,10000,0.25,3.0659936935057606,35.25004053115845,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261002,48,128,3,50000,10000,0.25,3.0627861428084966,35.26336073875427,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261003,48,128,3,50000,10000,0.25,3.062442887426562,34.58588099479675,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261004,48,128,3,50000,10000,0.25,3.0905892779304684,33.66194558143616,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261005,48,128,3,50000,10000,0.25,3.049348658226864,33.49384331703186,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261006,48,128,3,50000,10000,0.25,3.0928560255724853,33.40661573410034,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261007,48,128,3,50000,10000,0.25,3.1277346225051255,33.39214062690735,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261008,48,128,3,50000,10000,0.25,3.0782476109389263,33.881301164627075,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261009,48,128,3,50000,10000,0.25,3.1169030345649777,34.00888419151306,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261010,48,128,3,50000,10000,0.25,3.0662927523023855,33.6457040309906,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261011,48,128,3,50000,10000,0.25,3.092687702774755,33.68186402320862,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261012,48,128,3,50000,10000,0.25,3.07844291177629,33.94338870048523,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261013,48,128,3,50000,10000,0.25,3.0664280967500845,33.73395299911499,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261014,48,128,3,50000,10000,0.25,3.0568046236183917,33.63429117202759,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261015,48,128,3,50000,10000,0.25,3.0680162367947497,34.23043727874756,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261016,48,128,3,50000,10000,0.25,3.1056896034435826,33.966825008392334,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261017,48,128,3,50000,10000,0.25,3.026753167699854,33.416415214538574,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261018,48,128,3,50000,10000,0.25,3.1085751240120465,33.77162837982178,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261019,48,128,3,50000,10000,0.25,3.0807894425096873,33.433401346206665,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261020,48,128,3,50000,10000,0.25,3.1105005605052716,33.837549924850464,numpy-float32-streaming,CPU (torch unavailable),True,False,non-toy full-protocol numerical experiment
20261101,48,128,3,6250,10000,0.25,3.0917643521654368,10.312557220458984,numpy-float32-streaming,CPU (torch unavailable),False,False,diagnostic: deviates from paper full protocol
20261102,48,128,3,6250,10000,0.25,3.0318931984012316,9.994255304336548,numpy-float32-streaming,CPU (torch unavailable),False,False,diagnostic: deviates from paper full protocol
20261103,48,128,3,6250,10000,0.25,3.0298157259425373,10.422128438949585,numpy-float32-streaming,CPU (torch unavailable),False,False,diagnostic: deviates from paper full protocol
20261104,48,128,3,6250,10000,0.25,3.1580302545201526,10.802657127380371,numpy-float32-streaming,CPU (torch unavailable),False,False,diagnostic: deviates from paper full protocol
20261105,48,128,3,6250,10000,0.25,3.070320250097285,10.354946613311768,numpy-float32-streaming,CPU (torch unavailable),False,False,diagnostic: deviates from paper full protocol
20261106,48,128,3,6250,10000,0.25,3.0752786107730277,10.837341785430908,numpy-float32-streaming,CPU (torch unavailable),False,False,diagnostic: deviates from paper full protocol
20261107,48,128,3,6250,10000,0.25,3.043659677840851,10.73736310005188,numpy-float32-streaming,CPU (torch unavailable),False,False,diagnostic: deviates from paper full protocol
20261108,48,128,3,6250,10000,0.25,3.0263546695449874,10.613554000854492,numpy-float32-streaming,CPU (torch unavailable),False,False,diagnostic: deviates from paper full protocol
20261109,48,128,3,6250,10000,0.25,3.0391675146596637,10.240953922271729,numpy-float32-streaming,CPU (torch unavailable),False,False,diagnostic: deviates from paper full protocol
20261110,48,128,3,6250,10000,0.25,3.034641699784035,10.245209693908691,numpy-float32-streaming,CPU (torch unavailable),False,False,diagnostic: deviates from paper full protocol
