seed,d,M,k,N,evaluation_samples,t,mse,seconds,backend,device,wrong_bases,classification
20260901,48,128,3,50000,10000,0.1,10.239756446018562,132.8329758644104,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260902,48,128,3,50000,10000,0.1,10.426986261174305,142.20505166053772,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260903,48,128,3,50000,10000,0.1,10.342353953899323,136.67865085601807,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260904,48,128,3,50000,10000,0.1,10.426208268612275,132.63643503189087,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260905,48,128,3,50000,10000,0.1,10.423480577955615,140.09177708625793,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260906,48,128,3,50000,10000,0.1,10.352074264395318,131.04253673553467,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260907,48,128,3,50000,10000,0.1,10.446967349240246,131.84849214553833,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260908,48,128,3,50000,10000,0.1,10.239278264572526,135.14191269874573,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260909,48,128,3,50000,10000,0.1,10.145058692586744,141.84011316299438,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260910,48,128,3,50000,10000,0.1,10.31378215682342,134.18351793289185,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260911,48,128,3,50000,10000,0.1,10.34784750008915,142.95212149620056,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260912,48,128,3,50000,10000,0.1,10.531125978433035,129.04156017303467,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260913,48,128,3,50000,10000,0.1,10.396768032209051,143.24651098251343,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260914,48,128,3,50000,10000,0.1,10.34052055911463,141.92333555221558,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260915,48,128,3,50000,10000,0.1,10.409832202289305,140.65656280517578,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260916,48,128,3,50000,10000,0.1,10.284325821770704,124.14213514328003,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260917,48,128,3,50000,10000,0.1,10.425167904388614,132.6277368068695,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260918,48,128,3,50000,10000,0.1,10.486721273358627,127.90759491920471,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260919,48,128,3,50000,10000,0.1,10.524584909847777,122.56327414512634,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260920,48,128,3,50000,10000,0.1,10.534101670131463,128.44890069961548,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260901,48,128,3,50000,10000,0.5,1.4743162801554262,32.94607496261597,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260902,48,128,3,50000,10000,0.5,1.505846871992156,32.97175145149231,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260903,48,128,3,50000,10000,0.5,1.4739120046543446,33.40886378288269,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260904,48,128,3,50000,10000,0.5,1.4865309758716811,33.30861496925354,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260905,48,128,3,50000,10000,0.5,1.5142043662435891,33.214394330978394,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
20260906,48,128,3,50000,10000,0.5,1.4684034490535167,33.43973135948181,numpy-float32-streaming,CPU (torch unavailable),False,non-toy full-protocol numerical experiment
