seed,d,n,K,generated_n,tau,metric,tv,tv_shift_crosscheck,tv_unthresholded_control,tv_permuted_train_control,tv_target_target_floor,abar_first,abar_last,runtime_seconds
20261101,1,250,64,1024,0.10985605433061175,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.03212678276060101,0.999755859375,2.743558461181142e-32,1.0557541847229004
20261101,1,500,64,1024,0.08325532074018731,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.017831582365187334,0.999755859375,2.743558461181142e-32,2.0680699348449707
20261101,1,1000,64,1024,0.06309573444801932,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.0319519544120599,0.999755859375,2.743558461181142e-32,4.322338819503784
20261101,1,2000,64,1024,0.047817624989501845,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.032578416130118325,0.999755859375,2.743558461181142e-32,8.022000551223755
20261101,2,250,64,1024,0.15874010519681997,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.0660453557124339,0.999755859375,2.743558461181142e-32,4.104817867279053
20261101,2,500,64,1024,0.12599210498948732,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.05674800632433161,0.999755859375,2.743558461181142e-32,7.164670944213867
20261101,2,1000,64,1024,0.10000000000000002,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.06901305900907405,0.999755859375,2.743558461181142e-32,14.304287195205688
20261101,2,2000,64,1024,0.07937005259840998,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.0755172575758686,0.999755859375,2.743558461181142e-32,27.048434495925903
20261101,3,250,64,1024,0.20647823694200035,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.408203125,0.999755859375,2.743558461181142e-32,3.2255733013153076
20261101,3,500,64,1024,0.16938139800964527,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.3984375,0.999755859375,2.743558461181142e-32,6.6348981857299805
20261101,3,1000,64,1024,0.13894954943731377,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.404296875,0.999755859375,2.743558461181142e-32,14.124845266342163
20261101,3,2000,64,1024,0.11398522810475968,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.4248046875,0.999755859375,2.743558461181142e-32,25.896987676620483
20261102,1,250,64,1024,0.10985605433061175,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.02363102006163718,0.999755859375,2.743558461181142e-32,0.8010902404785156
20261102,1,500,64,1024,0.08325532074018731,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.029221525859264425,0.999755859375,2.743558461181142e-32,1.5514931678771973
20261102,1,1000,64,1024,0.06309573444801932,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.03688947045909485,0.999755859375,2.743558461181142e-32,3.3904037475585938
20261102,1,2000,64,1024,0.047817624989501845,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.027926962872118846,0.999755859375,2.743558461181142e-32,7.299933671951294
20261102,2,250,64,1024,0.15874010519681997,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.06192035266338912,0.999755859375,2.743558461181142e-32,4.1043384075164795
20261102,2,500,64,1024,0.12599210498948732,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.057392774089413394,0.999755859375,2.743558461181142e-32,7.216686725616455
20261102,2,1000,64,1024,0.10000000000000002,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.06821036342736775,0.999755859375,2.743558461181142e-32,13.649462461471558
20261102,2,2000,64,1024,0.07937005259840998,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.0626483164002257,0.999755859375,2.743558461181142e-32,27.078924655914307
20261102,3,250,64,1024,0.20647823694200035,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.39453125,0.999755859375,2.743558461181142e-32,3.220160722732544
20261102,3,500,64,1024,0.16938139800964527,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.388671875,0.999755859375,2.743558461181142e-32,6.6365485191345215
20261102,3,1000,64,1024,0.13894954943731377,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.3984375,0.999755859375,2.743558461181142e-32,13.689472913742065
20261102,3,2000,64,1024,0.11398522810475968,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.4052734375,0.999755859375,2.743558461181142e-32,26.23311448097229
20261103,1,250,64,1024,0.10985605433061175,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.02303368835823788,0.999755859375,2.743558461181142e-32,0.829127311706543
20261103,1,500,64,1024,0.08325532074018731,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.02181360769651643,0.999755859375,2.743558461181142e-32,1.6041805744171143
20261103,1,1000,64,1024,0.06309573444801932,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.03735149160349237,0.999755859375,2.743558461181142e-32,3.5796637535095215
20261103,1,2000,64,1024,0.047817624989501845,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.03336812460150263,0.999755859375,2.743558461181142e-32,7.816574335098267
20261103,2,250,64,1024,0.15874010519681997,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.05262218475976529,0.999755859375,2.743558461181142e-32,4.251448392868042
20261103,2,500,64,1024,0.12599210498948732,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.06262280758571878,0.999755859375,2.743558461181142e-32,7.575839996337891
